artist_id,artist_name,url
mn0004133687,William Marsey,https://www.allmusic.com/artist/william-marsey-mn0004133687
mn0001337514,Aaron Parker,https://www.allmusic.com/artist/aaron-parker-mn0001337514
mn0000855423,Kate Bush,https://www.allmusic.com/artist/kate-bush-mn0000855423
mn0001635060,Francisco de la Torre,https://www.allmusic.com/artist/francisco-de-la-torre-mn0001635060
mn0001802158,"Anonymous, Cancionero de Palacio",https://www.allmusic.com/artist/anonymous-cancionero-de-palacio-mn0001802158
mn0002263648,Adrián Rodríguez Van der Spoel,https://www.allmusic.com/artist/adri%C3%A1n-rodr%C3%ADguez-van-der-spoel-mn0002263648
mn0002181679,Garcimunos,https://www.allmusic.com/artist/garcimunos-mn0002181679
mn0002174421,Juan Ponce,https://www.allmusic.com/artist/juan-ponce-mn0002174421
mn0001671503,"Anonymous, Spanish",https://www.allmusic.com/artist/anonymous-spanish-mn0001671503
mn0001676705,Moxica,https://www.allmusic.com/artist/moxica-mn0001676705
mn0001627181,Pedro de Escobar,https://www.allmusic.com/artist/pedro-de-escobar-mn0001627181
mn0002772505,Garci Sánchez De Badajoz,https://www.allmusic.com/artist/garci-s%C3%A1nchez-de-badajoz-mn0002772505
mn0001553757,Juan de Urrede,https://www.allmusic.com/artist/juan-de-urrede-mn0001553757
mn0001495528,Charlotte Cornfield,https://www.allmusic.com/artist/charlotte-cornfield-mn0001495528
mn0000565908,Earl Wild,https://www.allmusic.com/artist/earl-wild-mn0000565908
mn0002352427,Otar Taktakishvili,https://www.allmusic.com/artist/otar-taktakishvili-mn0002352427
mn0004083752,Victor Nicoara,https://www.allmusic.com/artist/victor-nicoara-mn0004083752
mn0000859678,Francisco Tárrega,https://www.allmusic.com/artist/francisco-t%C3%A1rrega-mn0000859678
mn0002743544,Jaume Bosch,https://www.allmusic.com/artist/jaume-bosch-mn0002743544
mn0001639662,Johann Kaspar Mertz,https://www.allmusic.com/artist/johann-kaspar-mertz-mn0001639662
mn0003054741,Catharina Pratten,https://www.allmusic.com/artist/catharina-pratten-mn0003054741
mn0002204689,Frederik Rung,https://www.allmusic.com/artist/frederik-rung-mn0002204689
mn0002350158,Ernest Shand,https://www.allmusic.com/artist/ernest-shand-mn0002350158
mn0001757699,Giulio Regondi,https://www.allmusic.com/artist/giulio-regondi-mn0001757699
mn0000336639,Ron Wood,https://www.allmusic.com/artist/ron-wood-mn0000336639
mn0002451603,Luthor Dixon,https://www.allmusic.com/artist/luthor-dixon-mn0002451603
mn0000238208,Johnnie Mae Dunson,https://www.allmusic.com/artist/johnnie-mae-dunson-mn0000238208
mn0000830129,Lolita Ritmanis,https://www.allmusic.com/artist/lolita-ritmanis-mn0000830129
mn0000244752,Miriam Cutler,https://www.allmusic.com/artist/miriam-cutler-mn0000244752
mn0001639274,Penka Kouneva,https://www.allmusic.com/artist/penka-kouneva-mn0001639274
