"album_id","mood_id"
"mw0003443791","xa0000001075"
"mw0003443791","xa0000001133"
"mw0003443791","xa0000000959"
"mw0003443791","xa0000000697"
"mw0003475449","xa0000000935"
"mw0003475449","xa0000000709"
"mw0003475449","xa0000001051"
"mw0003475449","xa0000000941"
"mw0003475449","xa0000000954"
"mw0003475449","xa0000001101"
"mw0003475449","xa0000001113"
"mw0003475449","xa0000000708"
"mw0003475449","xa0000000714"
"mw0003475449","xa0000001018"
"mw0003475449","xa0000001127"
"mw0003475449","xa0000000733"
"mw0003475449","xa0000000946"
"mw0003475449","xa0000000722"
"mw0003475449","xa0000000754"
"mw0003475449","xa0000001444"
"mw0003475449","xa0000001128"
"mw0003436858","xa0000000748"
"mw0003436858","xa0000001014"
"mw0003436858","xa0000001057"
"mw0003436858","xa0000000759"
"mw0003436858","xa0000000981"
"mw0003436858","xa0000000997"
"mw0003436858","xa0000001062"
"mw0003436858","xa0000000758"
"mw0003436858","xa0000000770"
"mw0003436858","xa0000001138"
"mw0003436858","xa0000000934"
"mw0003436858","xa0000000958"
"mw0003436858","xa0000000703"
"mw0003436858","xa0000000708"
"mw0003436858","xa0000001002"
"mw0003436858","xa0000001029"
"mw0003436858","xa0000001066"
"mw0003436858","xa0000000764"
"mw0003436858","xa0000001105"
"mw0003436858","xa0000001113"
"mw0003436858","xa0000000988"
"mw0003436858","xa0000001068"
"mw0003436858","xa0000001118"
"mw0003436858","xa0000000980"
"mw0003436858","xa0000000733"
"mw0003558835","xa0000000694"
"mw0003558835","xa0000000933"
"mw0003558835","xa0000000699"
"mw0003558835","xa0000000961"
"mw0003558835","xa0000000964"
"mw0003558835","xa0000000748"
"mw0003558835","xa0000000966"
"mw0003558835","xa0000000981"
"mw0003558835","xa0000000987"
"mw0003558835","xa0000000990"
"mw0003558835","xa0000000997"
"mw0003558835","xa0000001002"
"mw0003558835","xa0000001005"
"mw0003558835","xa0000000721"
"mw0003558835","xa0000001062"
"mw0003558835","xa0000001070"
"mw0003558835","xa0000000759"
"mw0003558835","xa0000001100"
"mw0003558835","xa0000001129"
"mw0003558835","xa0000001136"
"mw0003558835","xa0000001144"
"mw0003558835","xa0000000949"
"mw0003558835","xa0000000708"
"mw0003558835","xa0000000980"
"mw0003558835","xa0000001028"
"mw0003558835","xa0000001036"
"mw0003558835","xa0000000726"
"mw0003558835","xa0000001071"
"mw0003558835","xa0000001075"
"mw0003558835","xa0000001108"
"mw0003558835","xa0000001112"
"mw0003558835","xa0000001118"
"mw0003558835","xa0000000697"
"mw0003558835","xa0000001120"
"mw0003558835","xa0000001132"
"mw0003558835","xa0000001133"
"mw0003558835","xa0000001135"
"mw0003558835","xa0000001143"
"mw0003560903","xa0000000964"
"mw0003560903","xa0000000975"
"mw0003560903","xa0000000978"
"mw0003560903","xa0000001038"
"mw0003560903","xa0000001127"
"mw0003560903","xa0000001047"
"mw0003560903","xa0000001057"
"mw0003560903","xa0000000751"
"mw0003560903","xa0000001082"
"mw0003560903","xa0000000760"
"mw0003563746","xa0000001032"
"mw0003563746","xa0000001062"
"mw0003563746","xa0000000757"
"mw0003563746","xa0000001095"
"mw0003563746","xa0000001105"
"mw0003563746","xa0000001138"
"mw0003563746","xa0000001099"
"mw0003563746","xa0000000943"
"mw0003563746","xa0000000708"
"mw0003563746","xa0000001000"
"mw0003563746","xa0000001036"
"mw0003563746","xa0000001068"
"mw0003563746","xa0000000753"
"mw0003563746","xa0000001088"
"mw0003563746","xa0000001098"
"mw0003563746","xa0000001129"
"mw0003617073","xa0000000933"
"mw0003617073","xa0000000935"
"mw0003617073","xa0000000980"
