"album_id","album_name","duration","release_date","all_music_rating","url"
"mw0003632587","automatic woman [from the ""bruised"" soundtrack]",NA,2021-11-19,NA,"https://www.allmusic.com/album/automatic-woman-from-the-bruised-soundtrack--mw0003632587"
"mw0003566133","en mi cuarto","03:17",2021-07-30,NA,"https://www.allmusic.com/album/en-mi-cuarto-mw0003566133"
"mw0003567909","out here on a friday where it began","29:46",2021-07-30,NA,"https://www.allmusic.com/album/out-here-on-a-friday-where-it-began-mw0003567909"
"mw0003575276","change the world","13:17",2021-09-24,NA,"https://www.allmusic.com/album/change-the-world-mw0003575276"
"mw0003530919","butter miracle, suite one","18:54",2021-05-21,NA,"https://www.allmusic.com/album/butter-miracle-suite-one-mw0003530919"
"mw0003534859","too bizarre",NA,2021-05-13,NA,"https://www.allmusic.com/album/too-bizarre-mw0003534859"
"mw0003658037","broadway girls","03:05",2021-12-17,NA,"https://www.allmusic.com/album/broadway-girls-mw0003658037"
"mw0003686574","wiz got wings","42:31",2021-12-10,NA,"https://www.allmusic.com/album/wiz-got-wings-mw0003686574"
"mw0003691484","wrap me up","03:33",2021-12-14,NA,"https://www.allmusic.com/album/wrap-me-up-mw0003691484"
"mw0003586852","cm8: any hood america","33:27",2021-09-03,NA,"https://www.allmusic.com/album/cm8-any-hood-america-mw0003586852"
"mw0003585370","kidz bop 2022","02:19:20",2021-10-22,NA,"https://www.allmusic.com/album/kidz-bop-2022-mw0003585370"
"mw0003595562","las olas",NA,2021-08-31,NA,"https://www.allmusic.com/album/las-olas-mw0003595562"
"mw0003595326","kidz bop concert kit","35:20",2021-10-08,NA,"https://www.allmusic.com/album/kidz-bop-concert-kit-mw0003595326"
"mw0003597931","the same stardust ep","31:40",2021-09-17,NA,"https://www.allmusic.com/album/the-same-stardust-ep-mw0003597931"
"mw0003577880","kidz bop super hits [2021]","01:01:16",2021-08-06,NA,"https://www.allmusic.com/album/kidz-bop-super-hits-2021--mw0003577880"
"mw0002816323","live at the bbc","07:20:17",2021-08-13,NA,"https://www.allmusic.com/album/live-at-the-bbc-mw0002816323"
"mw0003451952","anganok [complete]","58:45",2021-01-15,NA,"https://www.allmusic.com/album/anganok-complete--mw0003451952"
"mw0003559070","greasy truckers party",NA,2021-07-17,NA,"https://www.allmusic.com/album/greasy-truckers-party-mw0003559070"
"mw0003563694","de película","01:06:36",2021-09-10,NA,"https://www.allmusic.com/album/de-pel%C3%ADcula-mw0003563694"
"mw0003481296","rhapsody",NA,2021-03-12,NA,"https://www.allmusic.com/album/rhapsody-mw0003481296"
"mw0003489919","williams s. burroughs & brion gysin",NA,2021-05-14,NA,"https://www.allmusic.com/album/williams-s-burroughs-brion-gysin-mw0003489919"
"mw0003610528","duck stab! alive!",NA,2021-12-10,NA,"https://www.allmusic.com/album/duck-stab%21-alive%21-mw0003610528"
"mw0003616770","the wow demos, vol. 1","01:38:28",2021-12-10,NA,"https://www.allmusic.com/album/the-wow-demos-vol-1-mw0003616770"
"mw0003619103","silent night",NA,2021-11-19,NA,"https://www.allmusic.com/album/silent-night-mw0003619103"
"mw0003515694","the chapel, sf 10.2.19",NA,2021-06-12,NA,"https://www.allmusic.com/album/the-chapel-sf-10219-mw0003515694"
"mw0003524954","songs from the film feels good man",NA,2021-06-18,NA,"https://www.allmusic.com/album/songs-from-the-film-feels-good-man-mw0003524954"
"mw0003494013","sometime ago","52:43",2021-05-14,NA,"https://www.allmusic.com/album/sometime-ago-mw0003494013"
"mw0003498002","live at top gear bbc, 10 june 1969",NA,2021-04-30,NA,"https://www.allmusic.com/album/live-at-top-gear-bbc-10-june-1969-mw0003498002"
"mw0003465673","the decca years 1974-1977","02:50:42",2021-01-29,NA,"https://www.allmusic.com/album/the-decca-years-1974-1977-mw0003465673"
"mw0003469285","freak show [2021]","03:30:52",2021-02-26,NA,"https://www.allmusic.com/album/freak-show-2021--mw0003469285"
"mw0003506172","paris 1970","01:29:00",2021-05-07,NA,"https://www.allmusic.com/album/paris-1970-mw0003506172"
"mw0003509107","ali's smile",NA,2021-06-18,NA,"https://www.allmusic.com/album/alis-smile-mw0003509107"
"mw0003511810","st/fr/sp",NA,2021-05-14,NA,"https://www.allmusic.com/album/st-fr-sp-mw0003511810"
"mw0003604371","dust of time: an anthology 1969-2021","02:37:21",2021-12-17,NA,"https://www.allmusic.com/album/dust-of-time-an-anthology-1969-2021-mw0003604371"
"mw0003606873","remixes jid010","45:02",2021-12-03,NA,"https://www.allmusic.com/album/remixes-jid010-mw0003606873"
"mw0003607558","music for quiet moments","08:46:34",2021-11-19,NA,"https://www.allmusic.com/album/music-for-quiet-moments-mw0003607558"
"mw0003542857","full circle: live in lodz 2016",NA,2021-04-16,NA,"https://www.allmusic.com/album/full-circle-live-in-lodz-2016-mw0003542857"
"mw0003548157","time","53:07",2021-08-06,NA,"https://www.allmusic.com/album/time-mw0003548157"
"mw0003548600","let's go/somethings last a long time",NA,2021-07-16,NA,"https://www.allmusic.com/album/lets-go-somethings-last-a-long-time-mw0003548600"
"mw0003472719","the ravens collection 1946-59","04:49:50",2021-03-12,NA,"https://www.allmusic.com/album/the-ravens-collection-1946-59-mw0003472719"
"mw0003475295","glass triangle","47:56",2021-02-26,NA,"https://www.allmusic.com/album/glass-triangle-mw0003475295"
"mw0003478979","ohio runaway",NA,2021-03-12,NA,"https://www.allmusic.com/album/ohio-runaway-mw0003478979"
"mw0003710893","john cage: radio music","52:53",2021-12-03,NA,"https://www.allmusic.com/album/john-cage-radio-music-mw0003710893"
"mw0003627974","rapture to rupt",NA,2021-12-01,NA,"https://www.allmusic.com/album/rapture-to-rupt-mw0003627974"
"mw0003632846","uncompromising","34:35",2021-12-13,NA,"https://www.allmusic.com/album/uncompromising-mw0003632846"
"mw0003575129","ourania",NA,2021-09-10,NA,"https://www.allmusic.com/album/ourania-mw0003575129"
"mw0003530800","somnia","01:02:45",2021-09-17,NA,"https://www.allmusic.com/album/somnia-mw0003530800"
"mw0003654648","(now y'all givin up) love",NA,2021-08-13,NA,"https://www.allmusic.com/album/now-yall-givin-up-love-mw0003654648"
"mw0003587444","que calor !","17:02",2021-08-26,NA,"https://www.allmusic.com/album/que-calor-%21-mw0003587444"
"mw0003587469","promenade oblique","05:37",2021-08-25,NA,"https://www.allmusic.com/album/promenade-oblique-mw0003587469"
"mw0003596488","cuz schoolly d is crazy",NA,2021-11-19,NA,"https://www.allmusic.com/album/cuz-schoolly-d-is-crazy-mw0003596488"
"mw0003477524","revelación","19:33",2021-03-12,8,"https://www.allmusic.com/album/revelaci%C3%B3n-mw0003477524"
"mw0003477904","beethoven: sonatas 4, 5 & 7","01:06:38",2021-03-26,10,"https://www.allmusic.com/album/beethoven-sonatas-4-5-7-mw0003477904"
"mw0003628349","kick iii","35:38",2021-12-03,8,"https://www.allmusic.com/album/kick-iii-mw0003628349"
"mw0003628350","kick iiii","36:37",2021-12-03,8,"https://www.allmusic.com/album/kick-iiii-mw0003628350"
"mw0003628351","kick iiiii","41:43",2021-12-03,8,"https://www.allmusic.com/album/kick-iiiii-mw0003628351"
"mw0003568349","harmonizer","35:18",2021-08-03,8,"https://www.allmusic.com/album/harmonizer-mw0003568349"
"mw0003571916","let it be me: the atlantic recordings 1967-1970","03:10:52",2021-09-17,8,"https://www.allmusic.com/album/let-it-be-me-the-atlantic-recordings-1967-1970-mw0003571916"
"mw0003573030","instrumentals jid009","01:03:51",2021-10-01,8,"https://www.allmusic.com/album/instrumentals-jid009-mw0003573030"
"mw0003529267","into the mystery","45:43",2021-07-30,8,"https://www.allmusic.com/album/into-the-mystery-mw0003529267"
"mw0003538873","in the blossom of their shade","39:22",2021-09-10,9,"https://www.allmusic.com/album/in-the-blossom-of-their-shade-mw0003538873"
"mw0003589451","rameau: achante et céphise","02:09:42",2021-11-05,10,"https://www.allmusic.com/album/rameau-achante-et-c%C3%A9phise-mw0003589451"
"mw0003589455","what a song can do","51:24",2021-10-22,6,"https://www.allmusic.com/album/what-a-song-can-do-mw0003589455"
"mw0003585789","flying dream 1","44:30",2021-11-19,8,"https://www.allmusic.com/album/flying-dream-1-mw0003585789"
"mw0003587050","macon","52:10",2021-11-12,6,"https://www.allmusic.com/album/macon-mw0003587050"
"mw0003592945","queens of the summer hotel","40:12",2021-11-05,8,"https://www.allmusic.com/album/queens-of-the-summer-hotel-mw0003592945"
"mw0003595002","chansons d'ennui tip-top","43:46",2021-10-22,8,"https://www.allmusic.com/album/chansons-dennui-tip-top-mw0003595002"
"mw0003577145","protest songs 1924-2012","45:15",2021-10-01,6,"https://www.allmusic.com/album/protest-songs-1924-2012-mw0003577145"
"mw0003576734","my morning jacket","01:00:33",2021-10-22,8,"https://www.allmusic.com/album/my-morning-jacket-mw0003576734"
"mw0003583500","the north water [original score]","45:52",2021-09-09,8,"https://www.allmusic.com/album/the-north-water-original-score--mw0003583500"
"mw0003454208","ignorance","40:38",2021-02-05,9,"https://www.allmusic.com/album/ignorance-mw0003454208"
"mw0003554978","no sun","35:56",2021-08-27,9,"https://www.allmusic.com/album/no-sun-mw0003554978"
"mw0003483940","sacred hearts","01:14:59",2021-02-05,9,"https://www.allmusic.com/album/sacred-hearts-mw0003483940"
"mw0003494021","play with the changes","46:23",2021-04-30,9,"https://www.allmusic.com/album/play-with-the-changes-mw0003494021"
"mw0003548164","overtones for the omniverse",NA,2021-07-30,9,"https://www.allmusic.com/album/overtones-for-the-omniverse-mw0003548164"
"mw0003472690","obviously","39:02",2021-03-12,9,"https://www.allmusic.com/album/obviously-mw0003472690"
"mw0003477641","uncommon weather","35:38",2021-04-09,9,"https://www.allmusic.com/album/uncommon-weather-mw0003477641"
"mw0003535718","grateful deadication","01:00:31",2021-07-16,9,"https://www.allmusic.com/album/grateful-deadication-mw0003535718"
"mw0003537646","for as long as i can remember",NA,2021-08-06,9,"https://www.allmusic.com/album/for-as-long-as-i-can-remember-mw0003537646"
"mw0003592771","for allting",NA,2021-11-12,9,"https://www.allmusic.com/album/for-allting-mw0003592771"
"mw0003435637","metaphysics: the lost atlantic album","01:03:40",2021-03-05,10,"https://www.allmusic.com/album/metaphysics-the-lost-atlantic-album-mw0003435637"
"mw0003444763","the lunar injection kool aid eclipse conspiracy","41:50",2021-03-12,9,"https://www.allmusic.com/album/the-lunar-injection-kool-aid-eclipse-conspiracy-mw0003444763"
"mw0003448198","bach: soli deo gloria","01:22:48",2021-01-15,9,"https://www.allmusic.com/album/bach-soli-deo-gloria-mw0003448198"
"mw0003449781","detroit stories","50:14",2021-02-26,5,"https://www.allmusic.com/album/detroit-stories-mw0003449781"
"mw0003455574","bruckner: symphonies nos. 2 & 8; wagner: meistersinger prelude","02:30:38",2021-02-05,9,"https://www.allmusic.com/album/bruckner-symphonies-nos-2-8-wagner-meistersinger-prelude-mw0003455574"
"mw0003455575","rachmaninoff: symphony no. 1; symphonic dances","01:20:49",2021-01-29,9,"https://www.allmusic.com/album/rachmaninoff-symphony-no-1-symphonic-dances-mw0003455575"
"mw0003556257","musca","01:15:32",2021-10-22,7,"https://www.allmusic.com/album/musca-mw0003556257"
"mw0003557005","the british project: elgar, britten, walton, vaughan williams","01:11:51",2021-07-16,9,"https://www.allmusic.com/album/the-british-project-elgar-britten-walton-vaughan-williams-mw0003557005"
"mw0003558983","a beginner's mind","45:27",2021-09-24,7,"https://www.allmusic.com/album/a-beginners-mind-mw0003558983"
"mw0003559625","berlioz: requiem, grande messe des morts","01:23:33",2021-09-10,9,"https://www.allmusic.com/album/berlioz-requiem-grande-messe-des-morts-mw0003559625"
"mw0003559990","the million things that never happened","46:13",2021-10-29,7,"https://www.allmusic.com/album/the-million-things-that-never-happened-mw0003559990"
"mw0003563595","the ballad of dood & juanita","27:46",2021-08-20,7,"https://www.allmusic.com/album/the-ballad-of-dood-juanita-mw0003563595"
"mw0003488335","n'esperez plus mes yeux: airs sérieux et à boire, vol. 3","01:21:26",2021-04-30,9,"https://www.allmusic.com/album/nesperez-plus-mes-yeux-airs-s%C3%A9rieux-et-%C3%A0-boire-vol-3-mw0003488335"
"mw0003490883","bruckner 3","01:01:11",2021-04-21,9,"https://www.allmusic.com/album/bruckner-3-mw0003490883"
