"album_id","style_id"
"mw0003568349","ma0000002408"
"mw0003568349","ma0000002636"
"mw0003568349","ma0000012328"
"mw0003568349","ma0000002721"
"mw0003571916","ma0000002865"
"mw0003571916","ma0000011850"
"mw0003571916","ma0000011926"
"mw0003573030","ma0000012242"
"mw0003573030","ma0000002810"
"mw0003573030","ma0000002478"
"mw0003573030","ma0000004545"
"mw0003529267","ma0000004488"
"mw0003529267","ma0000012230"
"mw0003529267","ma0000002945"
"mw0003529267","ma0000002529"
"mw0003529267","ma0000005020"
"mw0003538873","ma0000004415"
"mw0003538873","ma0000012230"
"mw0003538873","ma0000004453"
"mw0003538873","ma0000012193"
"mw0003589451","ma0000004512"
"mw0003589455","ma0000002946"
"mw0003589455","ma0000004416"
"mw0003585789","ma0000012230"
"mw0003585789","ma0000012303"
"mw0003585789","ma0000002480"
"mw0003587050","ma0000002946"
"mw0003592945","ma0000012230"
"mw0003592945","ma0000004443"
"mw0003592945","ma0000012268"
"mw0003592945","ma0000004488"
"mw0003595002","ma0000012230"
"mw0003595002","ma0000012177"
"mw0003595002","ma0000004488"
"mw0003595002","ma0000002867"
"mw0003577145","ma0000004488"
"mw0003577145","ma0000012230"
"mw0003576734","ma0000012230"
"mw0003576734","ma0000012294"
"mw0003576734","ma0000012252"
"mw0003583500","ma0000012112"
"mw0003583500","ma0000002867"
"mw0003583500","ma0000012320"
"mw0003583500","ma0000012200"
"mw0003583500","ma0000011972"
"mw0003583500","ma0000012174"
"mw0003454208","ma0000012149"
"mw0003454208","ma0000012100"
"mw0003454208","ma0000012230"
"mw0003554978","ma0000012230"
"mw0003554978","ma0000012275"
"mw0003554978","ma0000004494"
"mw0003483940","ma0000004545"
"mw0003483940","ma0000005010"
"mw0003483940","ma0000002479"
"mw0003483940","ma0000002947"
"mw0003494021","ma0000013375"
"mw0003494021","ma0000011883"
"mw0003494021","ma0000002544"
"mw0003548164","ma0000012300"
"mw0003548164","ma0000012079"
"mw0003548164","ma0000012247"
"mw0003548164","ma0000012230"
"mw0003472690","ma0000004488"
"mw0003472690","ma0000004426"
"mw0003472690","ma0000011953"
"mw0003472690","ma0000012230"
"mw0003477641","ma0000004494"
"mw0003477641","ma0000012230"
"mw0003535718","ma0000004545"
"mw0003535718","ma0000011905"
"mw0003535718","ma0000012242"
"mw0003535718","ma0000002866"
"mw0003537646","ma0000004494"
"mw0003537646","ma0000012230"
"mw0003537646","ma0000012100"
"mw0003592771","ma0000012156"
"mw0003592771","ma0000012230"
"mw0003592771","ma0000004494"
"mw0003592771","ma0000012020"
"mw0003435637","ma0000002438"
"mw0003435637","ma0000002634"
"mw0003435637","ma0000002947"
"mw0003435637","ma0000011865"
"mw0003435637","ma0000002476"
"mw0003435637","ma0000005010"
"mw0003444763","ma0000012328"
"mw0003444763","ma0000012276"
"mw0003444763","ma0000002721"
"mw0003448198","ma0000004509"
"mw0003449781","ma0000002636"
"mw0003449781","ma0000002721"
"mw0003449781","ma0000004443"
"mw0003455574","ma0000012291"
"mw0003455575","ma0000012291"
"mw0003556257","ma0000012312"
"mw0003556257","ma0000012244"
"mw0003556257","ma0000002651"
"mw0003556257","ma0000012013"
"mw0003556257","ma0000005003"
"mw0003556257","ma0000013621"
"mw0003556257","ma0000002893"
"mw0003556257","ma0000002544"
"mw0003556257","ma0000012279"
"mw0003557005","ma0000004499"
"mw0003558983","ma0000012230"
"mw0003558983","ma0000012100"
"mw0003558983","ma0000004494"
"mw0003558983","ma0000004453"
"mw0003558983","ma0000012300"
"mw0003558983","ma0000012149"
"mw0003559625","ma0000004509"
"mw0003559990","ma0000012268"
"mw0003559990","ma0000012230"
"mw0003563595","ma0000004415"
"mw0003563595","ma0000002466"
"mw0003563595","ma0000002946"
"mw0003563595","ma0000002949"
"mw0003563595","ma0000012188"
"mw0003488335","ma0000004520"
"mw0003490883","ma0000012291"
"mw0003518868","ma0000004500"
"mw0003524965","ma0000004453"
"mw0003524965","ma0000012230"
"mw0003526093","ma0000012141"
"mw0003526093","ma0000012294"
"mw0003526093","ma0000004415"
"mw0003526093","ma0000002949"
"mw0003526093","ma0000002796"
"mw0003526093","ma0000002421"
"mw0003526093","ma0000002946"
"mw0003526093","ma0000012188"
"mw0003492640","ma0000002969"
"mw0003493126","ma0000012291"
"mw0003499739","ma0000004453"
"mw0003499739","ma0000012149"
"mw0003499739","ma0000012230"
"mw0003500803","ma0000013542"
"mw0003500803","ma0000002871"
"mw0003500803","ma0000002969"
"mw0003500818","ma0000012230"
"mw0003500818","ma0000012023"
"mw0003500818","ma0000012125"
"mw0003468625","ma0000012230"
"mw0003468625","ma0000012303"
"mw0003468625","ma0000002583"
"mw0003468625","ma0000002424"
"mw0003468625","ma0000002582"
"mw0003507041","ma0000012100"
"mw0003507041","ma0000012149"
"mw0003507041","ma0000004453"
"mw0003507041","ma0000012230"
"mw0003507562","ma0000004499"
"mw0003548549","ma0000013542"
"mw0003548549","ma0000005012"
"mw0003550673","ma0000012291"
"mw0003469576","ma0000013592"
"mw0003469576","ma0000011909"
"mw0003474582","ma0000004505"
"mw0003478654","ma0000005029"
"mw0003478654","ma0000004467"
"mw0003478654","ma0000011971"
"mw0003478654","ma0000002969"
"mw0003478654","ma0000002540"
"mw0003478654","ma0000002555"
"mw0003478654","ma0000012016"
"mw0003478654","ma0000002722"
"mw0003478654","ma0000002873"
"mw0003478654","ma0000002441"
"mw0003478654","ma0000002754"
"mw0003478654","ma0000002840"
"mw0003479007","ma0000012338"
"mw0003623299","ma0000012291"
"mw0003564327","ma0000004500"
"mw0003570433","ma0000004512"
"mw0003572981","ma0000004520"
"mw0003529270","ma0000004459"
"mw0003529270","ma0000012246"
"mw0003529270","ma0000002829"
"mw0003529270","ma0000004443"
"mw0003539759","ma0000012230"
"mw0003587023","ma0000012291"
"mw0003587023","ma0000012338"
"mw0003578417","ma0000012268"
"mw0003578417","ma0000012254"
"mw0003579920","ma0000004520"
"mw0003438436","ma0000012230"
"mw0003438436","ma0000012275"
"mw0003438436","ma0000004494"
"mw0003488849","ma0000004453"
"mw0003488849","ma0000002422"
"mw0003488849","ma0000012230"
"mw0003624521","ma0000011907"
"mw0003624521","ma0000012169"
"mw0003444762","ma0000004453"
"mw0003444762","ma0000012230"
"mw0003455645","ma0000002946"
"mw0003455645","ma0000004416"
"mw0003455645","ma0000002536"
"mw0003455645","ma0000004443"
"mw0003555076","ma0000011828"
"mw0003561493","ma0000012338"
"mw0003561493","ma0000004500"
"mw0003562033","ma0000004500"
"mw0003490075","ma0000002969"
"mw0003490075","ma0000013375"
"mw0003611313","ma0000002414"
"mw0003611313","ma0000011890"
"mw0003611313","ma0000012131"
"mw0003611313","ma0000011905"
"mw0003517675","ma0000012216"
"mw0003517675","ma0000002867"
"mw0003517675","ma0000004506"
"mw0003517675","ma0000002840"
"mw0003517675","ma0000002720"
"mw0003519942","ma0000004488"
"mw0003519942","ma0000004443"
"mw0003519942","ma0000012254"
"mw0003493080","ma0000004500"
"mw0003504977","ma0000011828"
"mw0003505702","ma0000012254"
"mw0003505702","ma0000002895"
"mw0003506401","ma0000012230"
"mw0003506401","ma0000012100"
"mw0003506401","ma0000004488"
"mw0003506401","ma0000012300"
"mw0003509786","ma0000012100"
"mw0003509786","ma0000012149"
"mw0003509786","ma0000012230"
"mw0003600087","ma0000002871"
"mw0003600087","ma0000013542"
"mw0003600087","ma0000011937"
"mw0003600087","ma0000013576"
"mw0003604620","ma0000002966"
"mw0003604620","ma0000002965"
"mw0003604620","ma0000002948"
"mw0003604620","ma0000005010"
"mw0003604620","ma0000004545"
"mw0003604620","ma0000004426"
"mw0003604620","ma0000012256"
"mw0003604620","ma0000004487"
"mw0003604846","ma0000004545"
"mw0003604846","ma0000002860"
"mw0003604846","ma0000012142"
"mw0003604846","ma0000004445"
"mw0003604846","ma0000012247"
"mw0003604846","ma0000002947"
"mw0003541022","ma0000012230"
"mw0003541022","ma0000004415"
"mw0003472616","ma0000004548"
"mw0003472616","ma0000012254"
"mw0003472616","ma0000013523"
"mw0003475445","ma0000012230"
"mw0003475445","ma0000012191"
"mw0003475445","ma0000002636"
"mw0003477888","ma0000004500"
"mw0003477954","ma0000012275"
"mw0003477954","ma0000013412"
"mw0003477954","ma0000002544"
"mw0003478756","ma0000011953"
"mw0003478756","ma0000002866"
"mw0003478756","ma0000013375"
"mw0003566477","ma0000004520"
"mw0003570000","ma0000012230"
"mw0003570000","ma0000012125"
"mw0003570000","ma0000012020"
"mw0003572033","ma0000004520"
"mw0003572033","ma0000004512"
"mw0003527872","ma0000004415"
"mw0003527872","ma0000002855"
"mw0003527872","ma0000002421"
"mw0003527872","ma0000002946"
"mw0003527872","ma0000002796"
"mw0003527872","ma0000004474"
"mw0003527987","ma0000004499"
"mw0003527987","ma0000004520"
"mw0003533689","ma0000011828"
"mw0003537893","ma0000004500"
"mw0003586960","ma0000011953"
"mw0003586960","ma0000012230"
"mw0003591168","ma0000012032"
"mw0003591168","ma0000004477"
"mw0003591168","ma0000002893"
"mw0003596340","ma0000002636"
"mw0003596340","ma0000002721"
"mw0003596340","ma0000002829"
"mw0003597449","ma0000004500"
"mw0003577155","ma0000004459"
"mw0003577155","ma0000011815"
"mw0003577155","ma0000004443"
"mw0003577157","ma0000012203"
"mw0003577157","ma0000012180"
"mw0003577157","ma0000013542"
"mw0003581734","ma0000013542"
"mw0003581734","ma0000005012"
"mw0003581734","ma0000002969"
"mw0003581734","ma0000012254"
"mw0003583332","ma0000002468"
"mw0003583332","ma0000004405"
"mw0003583332","ma0000004456"
"mw0003583332","ma0000012184"
"mw0003583332","ma0000011944"
"mw0003443074","ma0000004488"
"mw0003443074","ma0000012268"
"mw0003443074","ma0000012230"
"mw0003446343","ma0000011986"
"mw0003446343","ma0000005010"
"mw0003553399","ma0000002582"
"mw0003553399","ma0000011909"
"mw0003553399","ma0000011952"
"mw0003553399","ma0000012322"
"mw0003553399","ma0000002875"
"mw0003553399","ma0000002918"
"mw0003553399","ma0000012180"
"mw0003552451","ma0000012230"
"mw0003552451","ma0000012210"
"mw0003552451","ma0000002583"
"mw0003552451","ma0000004453"
"mw0003552451","ma0000004455"
"mw0003552451","ma0000012244"
"mw0003552451","ma0000012275"
"mw0003552451","ma0000002893"
"mw0003481189","ma0000004520"
"mw0003481189","ma0000004512"
"mw0003483683","ma0000013375"
"mw0003483683","ma0000013523"
"mw0003483683","ma0000011883"
"mw0003489921","ma0000012230"
"mw0003489921","ma0000012100"
"mw0003489921","ma0000002798"
"mw0003494703","ma0000011947"
"mw0003494703","ma0000011956"
"mw0003494703","ma0000012005"
"mw0003602564","ma0000012338"
"mw0003605052","ma0000012230"
"mw0003605052","ma0000004450"
"mw0003605052","ma0000005018"
"mw0003605052","ma0000011872"
"mw0003605052","ma0000012069"
"mw0003543279","ma0000012230"
"mw0003543279","ma0000004453"
"mw0003543279","ma0000012020"
"mw0003477640","ma0000004453"
"mw0003477640","ma0000012084"
"mw0003477640","ma0000012230"
"mw0003592778","ma0000002438"
"mw0003592778","ma0000002947"
"mw0003592778","ma0000012185"
"mw0003592778","ma0000002479"
"mw0003592240","ma0000011828"
"mw0003592240","ma0000012338"
"mw0003596434","ma0000012254"
"mw0003596434","ma0000012230"
"mw0003596434","ma0000012069"
"mw0003596434","ma0000004453"
"mw0003596434","ma0000013523"
"mw0003576625","ma0000004999"
"mw0003576625","ma0000012203"
"mw0003576625","ma0000013375"
"mw0003576625","ma0000013592"
"mw0003576625","ma0000012260"
"mw0003579626","ma0000002793"
"mw0003579626","ma0000011872"
"mw0003579626","ma0000012230"
"mw0003579626","ma0000012349"
"mw0003579626","ma0000012237"
"mw0003358511","ma0000004512"
"mw0003453660","ma0000011828"
"mw0003553283","ma0000004512"
"mw0003553283","ma0000012315"
"mw0003556340","ma0000012131"
"mw0003556340","ma0000002606"
"mw0003557789","ma0000011828"
"mw0003557790","ma0000004520"
"mw0003558628","ma0000012291"
"mw0003559126","ma0000012338"
"mw0003562030","ma0000012338"
"mw0003562030","ma0000004500"
"mw0003563519","ma0000004465"
"mw0003563519","ma0000012100"
"mw0003563519","ma0000002422"
"mw0003563519","ma0000012230"
"mw0003563519","ma0000012275"
"mw0003480335","ma0000004520"
"mw0003488334","ma0000011828"
"mw0003488343","ma0000004499"
"mw0003487540","ma0000004509"
"mw0003491549","ma0000004500"
"mw0003609451","ma0000004520"
"mw0003518867","ma0000011828"
"mw0003522803","ma0000002918"
"mw0003522803","ma0000011937"
"mw0003522803","ma0000002563"
"mw0003525159","ma0000012338"
"mw0003526849","ma0000012338"
"mw0003494108","ma0000004499"
"mw0003501488","ma0000004512"
"mw0003501491","ma0000004509"
"mw0003457603","ma0000004509"
"mw0003462446","ma0000004512"
"mw0003464762","ma0000011828"
"mw0003464803","ma0000004499"
"mw0003464820","ma0000012338"
"mw0003464875","ma0000012291"
"mw0003464880","ma0000004500"
"mw0003467847","ma0000004520"
"mw0003467847","ma0000012291"
"mw0003504978","ma0000004499"
"mw0003504978","ma0000012338"
"mw0003515532","ma0000004509"
"mw0003601788","ma0000004520"
"mw0003601788","ma0000004500"
"mw0003602575","ma0000011828"
"mw0003544896","ma0000004520"
"mw0003545263","ma0000004504"
"mw0003545263","ma0000004499"
"mw0003550675","ma0000004512"
"mw0003469861","ma0000004500"
"mw0003469861","ma0000004520"
"mw0003474907","ma0000004512"
"mw0003479006","ma0000004509"
"mw0003566533","ma0000011828"
"mw0003566536","ma0000004500"
"mw0003528226","ma0000002867"
"mw0003528226","ma0000011953"
"mw0003528226","ma0000011926"
"mw0003533526","ma0000002547"
"mw0003533526","ma0000012328"
"mw0003533526","ma0000002874"
"mw0003533526","ma0000002797"
"mw0003533526","ma0000002721"
"mw0003587963","ma0000002424"
"mw0003587963","ma0000002717"
"mw0003587963","ma0000012346"
"mw0003579903","ma0000012291"
"mw0003580013","ma0000004509"
"mw0003580506","ma0000012291"
"mw0003455577","ma0000004499"
"mw0003362909","ma0000013375"
"mw0003362909","ma0000011953"
"mw0003362909","ma0000012131"
"mw0003552908","ma0000012100"
"mw0003552908","ma0000012149"
"mw0003552908","ma0000012230"
"mw0003554976","ma0000012051"
"mw0003554976","ma0000002648"
"mw0003554976","ma0000004474"
"mw0003558479","ma0000012338"
"mw0003558479","ma0000004520"
"mw0003490851","ma0000004497"
"mw0003490851","ma0000011922"
"mw0003490851","ma0000002416"
"mw0003609392","ma0000012210"
"mw0003609392","ma0000004477"
"mw0003609392","ma0000012032"
"mw0003609392","ma0000012244"
"mw0003503379","ma0000011872"
"mw0003503379","ma0000002750"
"mw0003503379","ma0000012220"
"mw0003503379","ma0000002806"
"mw0003503379","ma0000011885"
"mw0003503479","ma0000002918"
"mw0003503479","ma0000002563"
"mw0003503479","ma0000011937"
"mw0003503479","ma0000013542"
"mw0003466035","ma0000002583"
"mw0003466035","ma0000004486"
"mw0003466035","ma0000012230"
"mw0003466035","ma0000004455"
"mw0003466035","ma0000002790"
"mw0003514193","ma0000012338"
"mw0003514193","ma0000004520"
"mw0003514193","ma0000004499"
"mw0003514706","ma0000012268"
"mw0003514706","ma0000004488"
"mw0003514706","ma0000012230"
"mw0003514706","ma0000004445"
"mw0003599905","ma0000002582"
