"album_id","theme_id"
"mw0003564125","ma0000004272"
"mw0003564125","ma0000006287"
"mw0003564125","ma0000006308"
"mw0003484772","ma0000006270"
"mw0003484772","ma0000006297"
"mw0003484772","ma0000006299"
"mw0003484772","ma0000005063"
"mw0003484772","ma0000006277"
"mw0003488341",NA
"mw0003489400","ma0000006273"
"mw0003489400","ma0000006311"
"mw0003489400","ma0000006299"
"mw0003489400","ma0000006321"
"mw0003489400","ma0000006335"
"mw0003489400","ma0000005096"
"mw0003489400","ma0000006316"
"mw0003489400","ma0000005111"
"mw0003489400","ma0000006326"
"mw0003489400","ma0000006310"
"mw0003489400","ma0000005047"
"mw0003489400","ma0000006297"
"mw0003489400","ma0000004264"
"mw0003489400","ma0000006325"
"mw0003490337","ma0000006299"
"mw0003490337","ma0000006321"
"mw0003490337","ma0000006323"
"mw0003490337","ma0000005093"
"mw0003490337","ma0000006318"
"mw0003490337","ma0000005096"
"mw0003490337","ma0000005658"
"mw0003490827","ma0000004251"
"mw0003490827","ma0000006311"
"mw0003490827","ma0000006327"
"mw0003490827","ma0000006318"
"mw0003490827","ma0000004285"
"mw0003490827","ma0000013567"
"mw0003495518","ma0000005076"
"mw0003495518","ma0000004281"
"mw0003495518","ma0000006325"
"mw0003495518","ma0000006311"
"mw0003495518","ma0000006316"
"mw0003495518","ma0000005079"
"mw0003499815","ma0000006328"
"mw0003499815","ma0000004252"
"mw0003499815","ma0000006291"
"mw0003499815","ma0000006297"
"mw0003499815","ma0000006332"
"mw0003499815","ma0000005099"
"mw0003499815","ma0000004272"
"mw0003499815","ma0000006315"
"mw0003499815","ma0000006308"
"mw0003500493","ma0000006321"
"mw0003500493","ma0000006276"
"mw0003500493","ma0000005105"
"mw0003500493","ma0000013573"
"mw0003500493","ma0000006311"
"mw0003500493","ma0000006269"
"mw0003500493","ma0000005065"
"mw0003464767",NA
"mw0003507532",NA
"mw0003509677","ma0000005055"
"mw0003509677","ma0000006316"
"mw0003509677","ma0000006297"
"mw0003509677","ma0000006313"
"mw0003509677","ma0000006280"
"mw0003509677","ma0000006330"
"mw0003511804","ma0000005055"
"mw0003511804","ma0000006276"
"mw0003511804","ma0000006313"
"mw0003511804","ma0000006321"
"mw0003511804","ma0000004276"
"mw0003511804","ma0000006270"
"mw0003511804","ma0000006311"
"mw0003513637","ma0000005633"
"mw0003513637","ma0000005051"
"mw0003513637","ma0000006315"
"mw0003513637","ma0000004281"
"mw0003513637","ma0000004282"
"mw0003545254","ma0000005059"
"mw0003545254","ma0000005579"
"mw0003545254","ma0000006287"
"mw0003545254","ma0000005063"
"mw0003545254","ma0000006328"
"mw0003545254","ma0000006291"
"mw0003545254","ma0000006285"
"mw0003474587",NA
"mw0003475353","ma0000005063"
"mw0003475353","ma0000006277"
"mw0003475353","ma0000005096"
"mw0003475353","ma0000004251"
"mw0003475353","ma0000006310"
"mw0003475353","ma0000006324"
"mw0003475353","ma0000006299"
"mw0003476086","ma0000005579"
"mw0003476086","ma0000006318"
"mw0003476086","ma0000005087"
"mw0003476086","ma0000005093"
"mw0003476086","ma0000005095"
"mw0003476086","ma0000006316"
"mw0003476086","ma0000006270"
"mw0003476086","ma0000006273"
"mw0003476086","ma0000006310"
"mw0003476086","ma0000006328"
"mw0003476086","ma0000005057"
"mw0003476086","ma0000006269"
"mw0003476086","ma0000006299"
"mw0003476086","ma0000004264"
"mw0003476086","ma0000006323"
"mw0003476086","ma0000005123"
"mw0003498913",NA
"mw0003500755",NA
"mw0003500831","ma0000006330"
"mw0003500831","ma0000006297"
"mw0003500831","ma0000006304"
"mw0003500831","ma0000006318"
"mw0003501088",NA
"mw0003501263","ma0000006324"
"mw0003501263","ma0000005042"
"mw0003501263","ma0000013568"
"mw0003501263","ma0000005579"
"mw0003501263","ma0000013570"
"mw0003501263","ma0000005086"
"mw0003501263","ma0000004263"
"mw0003501263","ma0000005082"
"mw0003501263","ma0000005123"
"mw0003501263","ma0000006327"
"mw0003501263","ma0000005057"
"mw0003501263","ma0000006318"
"mw0003501263","ma0000005122"
"mw0003503835",NA
"mw0003503843",NA
"mw0003468805",NA
"mw0003469188",NA
"mw0003469208",NA
"mw0003469214",NA
"mw0003507370",NA
"mw0003512000",NA
"mw0003599531",NA
"mw0003602684",NA
"mw0003605147",NA
"mw0003606652",NA
"mw0003542503",NA
"mw0003541693",NA
"mw0003546013",NA
"mw0003547844",NA
"mw0003551272",NA
"mw0003777895",NA
"mw0003470040",NA
"mw0003472124","ma0000006311"
"mw0003472124","ma0000004246"
"mw0003472124","ma0000005097"
"mw0003472124","ma0000005047"
"mw0003472124","ma0000006327"
"mw0003472124","ma0000006325"
"mw0003472124","ma0000006316"
"mw0003472124","ma0000004254"
"mw0003472124","ma0000006314"
"mw0003472124","ma0000006324"
"mw0003472124","ma0000005057"
"mw0003472124","ma0000005096"
"mw0003472320",NA
"mw0003477361","ma0000006314"
"mw0003477361","ma0000006325"
"mw0003477361","ma0000006327"
"mw0003477361","ma0000005042"
"mw0003477361","ma0000006330"
"mw0003477361","ma0000006297"
"mw0003477361","ma0000005066"
